"year";"lnkod";"region";"18-19 years";"20-24 years";"25-29 years";"30-34 years";"35-39 years";"40-44 years";"45-49 years";"50-54 years";"55-59 years";"60-64 years";"65-69 years";"70-74 years";"75-79 years";"80-84 years";"85-89 years";"90-94 years";"95-99 years";"100+ years"
2020;01;"Stockholm";50876;124781;179798;196178;177114;166226;168409;156337;146157;119371;102269;101257;86046;49140;27365;13166;4036;553
2020;03;"Uppsala";8669;27736;31178;28777;24661;22978;24222;23315;22418;19977;18828;19802;15924;9184;5321;2489;762;80
2020;04;"Södermanland";6840;15034;17554;18609;17237;17001;18575;19360;18791;17320;16830;18317;15319;9126;5086;2374;632;84
2020;05;"Östergötland";10365;30398;33569;31997;27609;27362;29091;29574;28314;25563;24268;25396;20990;13180;7711;3787;924;103
2020;06;"Jönköping";8457;21023;24461;24152;21366;21050;22472;23627;22294;20040;19200;19656;16346;10554;6427;3111;848;108
2020;07;"Kronoberg";4678;12058;13436;13322;12035;11981;12259;12695;11886;10830;10901;11085;9088;5901;3670;1795;473;62
2020;08;"Kalmar";5208;12344;14729;14786;13248;12981;14625;15941;16062;15160;15664;16220;13551;8665;5140;2306;580;70
2020;09;"Gotland";1255;3104;3340;3536;3124;3156;3709;3920;4127;4079;4103;4180;3460;2073;1220;518;123;15
2020;10;"Blekinge";3534;8551;9522;9560;8747;9043;9883;10569;10163;9131;9208;9780;8428;5684;3198;1495;374;41
2020;12;"Skåne";30091;79248;94897;98754;90239;88197;89473;88674;84157;73140;69991;71048;59715;37212;21372;10264;2823;325
2020;13;"Halland";7675;17216;19650;20887;19510;19718;21824;22411;21352;19356;18578;19460;16264;10204;5917;2824;770;100
2020;14;"Västra Götaland";36881;98367;126122;128490;112010;105697;109874;111347;107392;95148;88657;89151;72800;45435;27306;12669;3393;376
2020;17;"Värmland";5909;15874;17732;17624;15467;15047;17256;18563;18501;17479;17207;17790;14618;9363;5856;2724;671;72
2020;18;"Örebro";6714;19403;20764;20196;17714;17651;18975;19426;18486;16616;16428;17499;14944;8807;4883;2320;658;90
2020;19;"Västmanland";6095;14687;18312;18648;16247;15731;17125;18216;17959;15393;14640;15996;13383;8566;4759;2311;628;89
2020;20;"Dalarna";5989;13846;16855;17988;15871;15591;17161;18180;18371;17879;18101;19308;15675;9535;5619;2579;591;63
2020;21;"Gävleborg";6273;14597;17508;17852;15492;15164;17943;18966;18849;17584;17564;18842;15580;9269;5448;2410;569;48
2020;22;"Västernorrland";5380;11673;14107;14987;13301;13767;15271;16446;15743;15178;15044;15820;13124;8310;4807;2062;440;54
2020;23;"Jämtland";2708;6645;8183;8629;7521;7274;8077;8185;8319;8002;8060;8415;6675;4062;2449;1058;276;31
2020;24;"Västerbotten";6026;18497;20175;18935;16626;15655;16046;16356;15837;15755;15420;15415;12308;8081;4740;2058;497;53
2020;25;"Norrbotten";5348;14382;15867;16042;13591;12965;14957;16464;16495;16225;15773;16180;12777;8679;5080;2056;423;32